UsageStartDate,UsageEndDate,UsageType,ResourceId,UsageAmount,CurrencyCode,UnblendedCost
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0278bdc6b1e2c2944,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-041219e890fe4ffdf,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-04c3d31202eb7e419,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-05c5c011a97488771,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-067a6b441907f3291,4.7075000000,USD,3.9632442557
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0844f6c4d39b6ef20,4.6800000000,USD,3.9195000353
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-085d65fca1042ac85,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-089b3c4accebbb645,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-08e5f1dfa3f5c192b,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-098cdc9a66f574a59,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-09993c05766cd9ad5,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-09acfe37877d89e6e,4.3775000000,USD,3.6661562874
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0b651522deb9c1a64,5.0000000000,USD,4.1875000330
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0b8e4164a5494d201,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0ba43096bea0d1ea5,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0c9d7bd23722dd806,5.0000000000,USD,4.2095000139
2018-10-20T19:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-0fb8570f9e16c2952,4.3958330000,USD,3.7008517997
2018-10-20T20:00:00Z,2018-10-20T22:00:00Z,SpotUsage:i3.8xlarge,i-08e29a7ffc079415c,1.6583330000,USD,1.3888538994
2018-10-20T20:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-0980ff387ddaa6b0f,2.7061110000,USD,2.2663679960
2018-10-20T20:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-09f91d5dd61c9760d,2.6055560000,USD,2.1821531813
2018-10-20T20:00:00Z,2018-10-20T23:00:00Z,SpotUsage:i3.8xlarge,i-0d92f844ba824db6d,2.7233330000,USD,2.2807914214
2018-10-20T20:00:00Z,2018-10-21T00:00:00Z,SpotUsage:i3.8xlarge,i-06da23a0dede8deaf,3.5908330000,USD,3.0073226734
